;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3
32;True;True;nag;0.001;10;0.6293753234894721;0.12244898080825806;0.6131207181295757;0.1240188404917717;0.6134160250846408;0.11930926144123075;267.0;270.0;304.0
33;True;False;nag;0.001;10;0.6381635687414855;0.11145997047424316;0.6293634208068368;0.11459968239068985;0.626574093449621;0.11930926144123075;1469.0;1526.0;870.0
34;False;True;nag;0.001;10;0.6358514454338576;0.1240188404917717;0.6214566384230155;0.11459968239068985;0.6285545955086054;0.11930926144123075;653.0;567.0;511.0
35;False;False;nag;0.001;10;0.6238291765120191;0.12087912112474443;0.621018300906081;0.11930926144123075;0.6176202377681642;0.12087912112474443;1086.0;1448.0;1075.0
36;True;True;nag;0.001;50;0.6238932955770328;0.12087912112474443;0.6170384352398068;0.11616954207420348;0.6185047770594503;0.11773940175771712;856.0;1062.0;771.0
37;True;False;nag;0.001;50;0.6561696917707542;0.10675039142370224;0.6467988508836815;0.10361067205667496;0.6490839601873042;0.10204081982374193;952.0;894.0;775.0
38;False;True;nag;0.001;50;0.6436683404576647;0.11930926144123075;0.6277163206501696;0.12087912112474443;0.6307946681227752;0.11616954207420348;1563.0;2017.0;1349.0
39;False;False;nag;0.001;50;0.6336672078683575;0.12087912112474443;0.6349402722234442;0.11773940175771712;0.6338844590321815;0.11773940175771712;2575.0;2617.0;1853.0
40;True;True;nag;0.001;100;0.6204179125827748;0.12087912112474443;0.6123763743899119;0.11616954207420348;0.6173902026712427;0.11616954207420348;1559.0;1673.0;1345.0
41;True;False;nag;0.001;100;0.6536525337250678;0.09890110045671464;0.6527447766000098;0.10204081982374193;0.648698897620011;0.1051805317401886;1138.0;1110.0;1135.0
42;False;True;nag;0.001;100;0.6499563660501873;0.11773940175771712;0.6325037310973067;0.1130298301577568;0.6374294847671054;0.1240188404917717;2133.0;2687.0;2001.0
