;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
31;False;False;adam;0.1;100;0.6920928768872092;0.023547880351543427;0.6854217078659561;0.05337519571185112;0.6922522067462257;0.023547880351543427;92.0;117.0;80.0;0.001
32;True;True;adam;0.1;100;0.6848364071905894;0.05808477103710175;0.6717995539939198;0.08791209012269974;0.6734294154018959;0.097331240773201;144.0;152.0;98.0;0.0001
33;True;False;adam;0.1;100;0.6779641141322569;0.08006279170513153;0.6798784657961907;0.06279435008764267;0.6921661061057864;0.023547880351543427;84.0;92.0;80.0;0.0001
34;False;True;adam;0.1;100;0.6937004817149702;0.08948194980621338;0.6923729830671517;0.023547880351543427;0.6759159539707789;0.07692307978868483;82.0;90.0;82.0;0.0001
35;False;False;adam;0.1;100;0.6788560662950788;0.06436420977115631;0.6778750948292119;0.08163265138864517;0.6748911045035537;0.0753532201051712;94.0;98.0;92.0;0.0001
36;True;True;adam;0.1;500;0.6999628027342553;0.023547880351543427;0.6999438064438956;0.023547880351543427;0.7000435030254502;0.023547880351543427;87.0;81.0;81.0;0.01
37;True;False;adam;0.1;500;0.6921372995646071;0.023547880351543427;0.6921463628391643;0.023547880351543427;0.6921947771563448;0.023547880351543427;87.0;92.0;82.0;0.01
38;False;True;adam;0.1;500;0.6921202584375954;0.023547880351543427;0.677443711686546;0.0753532201051712;0.6898611303027047;0.03610675036907196;88.0;87.0;99.0;0.01
39;False;False;adam;0.1;500;0.6921325763877557;0.023547880351543427;0.6921567817684994;0.023547880351543427;0.6904450520241466;0.023547880351543427;85.0;85.0;128.0;0.01
40;True;True;adam;0.1;500;0.6799005898800525;0.06436420977115631;0.6818982554567478;0.06436420977115631;0.6999456003846328;0.023547880351543427;103.0;125.0;83.0;0.001
41;True;False;adam;0.1;500;0.6920465381590875;0.023547880351543427;0.6920537951415524;0.023547880351543427;0.6921524119152566;0.023547880351543427;86.0;85.0;82.0;0.001
42;False;True;adam;0.1;500;0.662836288357829;0.10989011079072952;0.6717653042480373;0.08320251107215881;0.6677642723829069;0.10989011079072952;173.0;92.0;133.0;0.001
43;False;False;adam;0.1;500;0.6877202668594229;0.023547880351543427;0.6725208825743181;0.08163265138864517;0.6907917088953255;0.023547880351543427;89.0;105.0;132.0;0.001
44;True;True;adam;0.1;500;0.6686817933476327;0.09890110045671464;0.6998975822465199;0.023547880351543427;0.677292714968581;0.10047096014022827;113.0;80.0;150.0;0.0001
45;True;False;adam;0.1;500;0.6911219151652589;0.023547880351543427;0.6920832796036916;0.023547880351543427;0.673342151114106;0.07692307978868483;96.0;82.0;119.0;0.0001
46;False;True;adam;0.1;500;0.6577981660841399;0.1130298301577568;0.6921249956500773;0.023547880351543427;0.6680237577885998;0.09890110045671464;97.0;80.0;99.0;0.0001
47;False;False;adam;0.1;500;0.6920709823326937;0.023547880351543427;0.6847494995013885;0.023547880351543427;0.6905756942705606;0.023547880351543427;82.0;126.0;93.0;0.0001
48;True;True;adam;0.01;10;0.675577180445475;0.0753532201051712;0.6713085181110507;0.09576138108968736;0.6746300301709018;0.08320251107215881;120.0;99.0;89.0;0.01
49;True;False;adam;0.01;10;0.666566401298978;0.1051805317401886;0.6650729618229709;0.097331240773201;0.6661683116078938;0.10204081982374193;108.0;116.0;111.0;0.01
50;False;True;adam;0.01;10;0.6686569025602596;0.09576138108968736;0.6710422287930499;0.0863422304391861;0.6846159603943818;0.048665620386600494;85.0;92.0;92.0;0.01
51;False;False;adam;0.01;10;0.663242543510964;0.097331240773201;0.6660917229143379;0.0941915214061737;0.6661232165302174;0.10204081982374193;116.0;99.0;118.0;0.01
52;True;True;adam;0.01;10;0.6600490415489281;0.10675039142370224;0.6672454816018768;0.1051805317401886;0.6720021115367416;0.09105180203914642;153.0;123.0;143.0;0.001
53;True;False;adam;0.01;10;0.6691507801904784;0.10047096014022827;0.6631527053692278;0.11773940175771712;0.6732149849319757;0.10675039142370224;91.0;112.0;147.0;0.001
54;False;True;adam;0.01;10;0.6556461134361136;0.10204081982374193;0.6601744531836578;0.1051805317401886;0.6609047146943899;0.11930926144123075;100.0;86.0;125.0;0.001
55;False;False;adam;0.01;10;0.665061988860509;0.09890110045671464;0.6582842771449307;0.0941915214061737;0.6677018411492628;0.097331240773201;151.0;91.0;91.0;0.001
56;True;True;adam;0.01;10;0.66303827745761;0.09890110045671464;0.6599904566395041;0.11459968239068985;0.6632272995060992;0.1051805317401886;168.0;155.0;121.0;0.0001
57;True;False;adam;0.01;10;0.6647702573419927;0.10204081982374193;0.65970980344425;0.10675039142370224;0.6653829858853266;0.11459968239068985;104.0;105.0;116.0;0.0001
58;False;True;adam;0.01;10;0.6604904074870998;0.12087912112474443;0.6524348356285874;0.12087912112474443;0.662376273183658;0.12244898080825806;92.0;91.0;119.0;0.0001
59;False;False;adam;0.01;10;0.6632081980420805;0.11145997047424316;0.6533990923426402;0.10675039142370224;0.6610962265701833;0.10204081982374193;103.0;109.0;96.0;0.0001
